Gene,Bacteria,Present,Category
Harpin(HrpZ1),G.diazotrophicus,0,Harpin
Harpin(HrpK1),G.diazotrophicus,0,Harpin
Harpin(PopW),G.diazotrophicus,0,Harpin
Harpin(HrcR),G.diazotrophicus,0,Harpin
Harpin(HopAK1),G.diazotrophicus,0,Harpin
HopAN1,G.diazotrophicus,0,Effector
HopAC1,G.diazotrophicus,0,Effector
HopAG1,G.diazotrophicus,0,Effector
HopAH1,G.diazotrophicus,0,Effector
HopAI1,G.diazotrophicus,0,Effector
HopJ1,G.diazotrophicus,0,Effector
HopAA1,G.diazotrophicus,0,Effector
HopM1,G.diazotrophicus,0,Effector
HopX1,G.diazotrophicus,0,Effector
HopQ1,G.diazotrophicus,0,Effector
HopF2,G.diazotrophicus,0,Effector
HopV1,G.diazotrophicus,0,Effector
HopR1,G.diazotrophicus,0,Effector
HopZ3,G.diazotrophicus,0,Effector
HopH1,G.diazotrophicus,0,Effector
HopL1,G.diazotrophicus,0,Effector
HopAH2,G.diazotrophicus,0,Effector
HopAJ1,G.diazotrophicus,0,Effector
HopPtoC,G.diazotrophicus,0,Effector
HopAV1,G.diazotrophicus,0,Effector
HopAF1,G.diazotrophicus,0,Effector
HopI1,G.diazotrophicus,1,Effector
HopAE1,G.diazotrophicus,0,Effector
HopAJ2,G.diazotrophicus,1,Effector
HopAB1,G.diazotrophicus,0,Effector
HopE1,G.diazotrophicus,0,Effector
HopAW1,G.diazotrophicus,0,Effector
HopP1,G.diazotrophicus,1,Effector
AvrBs2,G.diazotrophicus,0,Effector
AvrA,G.diazotrophicus,0,Effector
AvrRxv,G.diazotrophicus,0,Effector
AvrRpm1,G.diazotrophicus,0,Effector
AvrXccE1,G.diazotrophicus,0,Effector
AvrRpt2,G.diazotrophicus,0,Effector
AvrBs3,G.diazotrophicus,0,Effector
AvrE1,G.diazotrophicus,0,Effector
AvrB3,G.diazotrophicus,0,Effector
AvrXccB,G.diazotrophicus,0,Effector
DspA/E,G.diazotrophicus,0,Effector
DspF,G.diazotrophicus,0,Effector
Rsc3369,G.diazotrophicus,0,Effector
MxiE,G.diazotrophicus,1,Effector
ExoU,G.diazotrophicus,0,Effector
T2SS,G.diazotrophicus,0,T2SS
T3SS,G.diazotrophicus,0,T3SS
T4SS,G.diazotrophicus,0,T4SS
T6SS,G.diazotrophicus,0,T6SS
Flagella,G.diazotrophicus,1,Flagella
Pili,G.diazotrophicus,1,Pili
Pectate disaccharide-lyase,A.brasilense,0,PCWDE
Pectate lyase,A.brasilense,0,PCWDE
Rhanmogalacturonan endolyase,A.brasilense,0,PCWDE
Pectin lyase,A.brasilense,0,PCWDE
Cellulase,A.brasilense,1,PCWDE
beta-xylanase,A.brasilense,1,PCWDE
Arabinosidase,A.brasilense,0,PCWDE
beta-galactosidase,A.brasilense,1,PCWDE
beta-xylosidase,A.brasilense,1,PCWDE
beta-glucosidase,A.brasilense,1,PCWDE
alpha-galactosidase,A.brasilense,1,PCWDE
Galactanase,A.brasilense,0,PCWDE
Polyglacturonase,A.brasilense,0,PCWDE
Avicelase,A.brasilense,0,PCWDE
alpha-L-arabinosidase,A.brasilense,0,PCWDE
alpha-glucuronidase,A.brasilense,0,PCWDE
Harpin(HrpN),A.brasilense,0,Harpin
Harpin(HrpW),A.brasilense,0,Harpin
Harpin(HrpA2),A.brasilense,0,Harpin
Harpin(HrpZ1),A.brasilense,0,Harpin
Harpin(HrpK1),A.brasilense,0,Harpin
Harpin(PopW),A.brasilense,0,Harpin
Harpin(HrcR),A.brasilense,0,Harpin
Harpin(HopAK1),A.brasilense,0,Harpin
HopAN1,A.brasilense,0,Effector
HopAC1,A.brasilense,0,Effector
HopAG1,A.brasilense,0,Effector
HopAH1,A.brasilense,0,Effector
HopAI1,A.brasilense,0,Effector
HopJ1,A.brasilense,0,Effector
HopAA1,A.brasilense,0,Effector
HopM1,A.brasilense,0,Effector
HopX1,A.brasilense,0,Effector
HopQ1,A.brasilense,0,Effector
HopF2,A.brasilense,0,Effector
HopV1,A.brasilense,0,Effector
HopR1,A.brasilense,0,Effector
HopZ3,A.brasilense,0,Effector
HopH1,A.brasilense,0,Effector
HopL1,A.brasilense,0,Effector
HopAH2,A.brasilense,0,Effector
HopAJ1,A.brasilense,0,Effector
HopPtoC,A.brasilense,0,Effector
HopAV1,A.brasilense,0,Effector
HopAF1,A.brasilense,0,Effector
HopI1,A.brasilense,1,Effector
HopAE1,A.brasilense,0,Effector
HopAJ2,A.brasilense,1,Effector
HopAB1,A.brasilense,0,Effector
HopE1,A.brasilense,0,Effector
HopAW1,A.brasilense,0,Effector
HopP1,A.brasilense,1,Effector
AvrBs2,A.brasilense,0,Effector
AvrA,A.brasilense,0,Effector
AvrRxv,A.brasilense,0,Effector
AvrRpm1,A.brasilense,0,Effector
AvrXccE1,A.brasilense,0,Effector
AvrRpt2,A.brasilense,0,Effector
AvrBs3,A.brasilense,0,Effector
AvrE1,A.brasilense,0,Effector
AvrB3,A.brasilense,0,Effector
AvrXccB,A.brasilense,0,Effector
DspA/E,A.brasilense,0,Effector
DspF,A.brasilense,0,Effector
Rsc3369,A.brasilense,0,Effector
MxiE,A.brasilense,1,Effector
ExoU,A.brasilense,0,Effector
T2SS,A.brasilense,0,T2SS
T3SS,A.brasilense,0,T3SS
T4SS,A.brasilense,0,T4SS
T6SS,A.brasilense,0,T6SS
Flagella,A.brasilense,1,Flagella
Pili,A.brasilense,1,Pili
Pectate disaccharide-lyase,M.mesophilicum,0,PCWDE
Pectate lyase,M.mesophilicum,0,PCWDE
Rhanmogalacturonan endolyase,M.mesophilicum,0,PCWDE
Pectin lyase,M.mesophilicum,0,PCWDE
Cellulase,M.mesophilicum,1,PCWDE
beta-xylanase,M.mesophilicum,1,PCWDE
Arabinosidase,M.mesophilicum,0,PCWDE
beta-galactosidase,M.mesophilicum,0,PCWDE
beta-xylosidase,M.mesophilicum,0,PCWDE
beta-glucosidase,M.mesophilicum,0,PCWDE
alpha-galactosidase,M.mesophilicum,1,PCWDE
Galactanase,M.mesophilicum,0,PCWDE
Polyglacturonase,M.mesophilicum,0,PCWDE
Avicelase,M.mesophilicum,0,PCWDE
alpha-L-arabinosidase,M.mesophilicum,0,PCWDE
alpha-glucuronidase,M.mesophilicum,0,PCWDE
Harpin(HrpN),M.mesophilicum,0,Harpin
Harpin(HrpW),M.mesophilicum,0,Harpin
Harpin(HrpA2),M.mesophilicum,0,Harpin
Harpin(HrpZ1),M.mesophilicum,0,Harpin
Harpin(HrpK1),M.mesophilicum,0,Harpin
Harpin(PopW),M.mesophilicum,0,Harpin
Harpin(HrcR),M.mesophilicum,0,Harpin
Harpin(HopAK1),M.mesophilicum,0,Harpin
HopAN1,M.mesophilicum,1,Effector
HopAC1,M.mesophilicum,0,Effector
